Código (SKU),Descrição / Nome,Modelo / Referência,Divisão,Categoria,Subcategoria,Preço de Venda (R$),Custo (R$),Temporada,Coleção,Nível de Risco,Faixa de Preço,Cor (nome do fornecedor),Material Principal
SKU_1000_COR,Saias Saia Curta SKU_1000_COR,,Feminino,Saias,Saia Curta,359.9,98.25,,PV24,,,,
SKU_1000_EME,Saias Saia Curta SKU_1000_EME,,Feminino,Saias,Saia Curta,204.9,59.76,,PV24,,,,
SKU_1000_ROY,Saias Saia Curta SKU_1000_ROY,,Feminino,Saias,Saia Curta,204.9,59.76,,PV24,,,,
SKU_1001_AQU,Vestidos Vestido de Festa SKU_1001_AQU,,Feminino,Vestidos,Vestido de Festa,939.9,251.24,,PV24,,,,
SKU_1001_SAP,Vestidos Vestido de Festa SKU_1001_SAP,,Feminino,Vestidos,Vestido de Festa,939.9,251.24,,PV24,,,,
SKU_1002_COR,Camisas Camisa Alfaiataria SKU_1002_COR,,Feminino,Camisas,Camisa Alfaiataria,234.9,76.81,,PV24,,,,
SKU_1002_MYS,Camisas Camisa Alfaiataria SKU_1002_MYS,,Feminino,Camisas,Camisa Alfaiataria,234.9,76.81,,PV24,,,,
SKU_1003_DUS,Camisas Camisa Estampada SKU_1003_DUS,,Feminino,Camisas,Camisa Estampada,364.9,143.19,,PV24,,,,
SKU_1003_SNO,Camisas Camisa Estampada SKU_1003_SNO,,Feminino,Camisas,Camisa Estampada,364.9,143.19,,PV24,,,,
SKU_1004_FOR,Blusas Body SKU_1004_FOR,,Feminino,Blusas,Body,299.9,114.01,,PV24,,,,
SKU_1004_MEX,Blusas Body SKU_1004_MEX,,Feminino,Blusas,Body,299.9,114.01,,PV24,,,,
SKU_1005_MYS,T-shirts e Regatas T-shirt Estampada SKU_1005_MYS,,Feminino,T-shirts e Regatas,T-shirt Estampada,184.9,60.87,,PV24,,,,
SKU_1005_OLI,T-shirts e Regatas T-shirt Estampada SKU_1005_OLI,,Feminino,T-shirts e Regatas,T-shirt Estampada,184.9,60.87,,PV24,,,,
SKU_1006_FOR,Blusas Blusa Cropped SKU_1006_FOR,,Feminino,Blusas,Blusa Cropped,189.9,60.39,,PV24,,,,
SKU_1006_MOS,Blusas Blusa Cropped SKU_1006_MOS,,Feminino,Blusas,Blusa Cropped,189.9,60.39,,PV24,,,,
SKU_1007_COB,Camisas Camisa Alfaiataria SKU_1007_COB,,Feminino,Camisas,Camisa Alfaiataria,294.9,93.78,,PV24,,,,
SKU_1007_FOR,Camisas Camisa Alfaiataria SKU_1007_FOR,,Feminino,Camisas,Camisa Alfaiataria,294.9,93.78,,PV24,,,,
SKU_1008_MEX,Camisas Camisa Estampada SKU_1008_MEX,,Feminino,Camisas,Camisa Estampada,324.9,107.54,,PV24,,,,
SKU_1008_WHI,Camisas Camisa Estampada SKU_1008_WHI,,Feminino,Camisas,Camisa Estampada,324.9,107.54,,PV24,,,,
SKU_1009_BAB,Vestidos Vestido Midi SKU_1009_BAB,,Feminino,Vestidos,Vestido Midi,514.9,142.22,,PV24,,,,
SKU_1009_MAG,Vestidos Vestido Midi SKU_1009_MAG,,Feminino,Vestidos,Vestido Midi,514.9,142.22,,PV24,,,,
SKU_1010_BRI,Camisas Camisa Alfaiataria SKU_1010_BRI,,Feminino,Camisas,Camisa Alfaiataria,379.9,113.2,,PV24,,,,
SKU_1010_SNO,Camisas Camisa Alfaiataria SKU_1010_SNO,,Feminino,Camisas,Camisa Alfaiataria,379.9,113.2,,PV24,,,,
SKU_1011_CER,Camisas Camisa Alfaiataria SKU_1011_CER,,Feminino,Camisas,Camisa Alfaiataria,259.9,69.47,,PV24,,,,
SKU_1011_MIN,Camisas Camisa Alfaiataria SKU_1011_MIN,,Feminino,Camisas,Camisa Alfaiataria,259.9,69.47,,PV24,,,,
SKU_1012_CLO,Vestidos Vestido Longo SKU_1012_CLO,,Feminino,Vestidos,Vestido Longo,969.9,288.06,,PV24,,,,
SKU_1012_VAN,Vestidos Vestido Longo SKU_1012_VAN,,Feminino,Vestidos,Vestido Longo,969.9,288.06,,PV24,,,,
SKU_1013_LIG,Shorts e Bermudas Bermuda SKU_1013_LIG,,Feminino,Shorts e Bermudas,Bermuda,179.9,68.43,,PV24,,,,
SKU_1014_FLA,Calças Calça Pantalona SKU_1014_FLA,,Feminino,Calças,Calça Pantalona,399.9,132.37,,PV24,,,,
SKU_1014_MIN,Calças Calça Pantalona SKU_1014_MIN,,Feminino,Calças,Calça Pantalona,399.9,132.37,,PV24,,,,
SKU_1015_ROY,Vestidos Vestido Longo SKU_1015_ROY,,Feminino,Vestidos,Vestido Longo,934.9,309.45,,PV24,,,,
SKU_1015_TUR,Vestidos Vestido Longo SKU_1015_TUR,,Feminino,Vestidos,Vestido Longo,934.9,309.45,,PV24,,,,
SKU_1016_HON,Blusas Blusa Cropped SKU_1016_HON,,Feminino,Blusas,Blusa Cropped,214.9,71.13,,PV24,,,,
SKU_1016_SNO,Blusas Blusa Cropped SKU_1016_SNO,,Feminino,Blusas,Blusa Cropped,214.9,71.13,,PV24,,,,
SKU_1017_BAL,Lenços Lenço Estampado SKU_1017_BAL,,Acessórios,Lenços,Lenço Estampado,149.9,47.67,,PV24,,,,
SKU_1017_PAS,Lenços Lenço Estampado SKU_1017_PAS,,Acessórios,Lenços,Lenço Estampado,149.9,47.67,,PV24,,,,
SKU_1018_ARM,T-shirts e Regatas Regata SKU_1018_ARM,,Feminino,T-shirts e Regatas,Regata,119.9,38.13,,PV24,,,,
SKU_1018_TEA,T-shirts e Regatas Regata SKU_1018_TEA,,Feminino,T-shirts e Regatas,Regata,119.9,38.13,,PV24,,,,
SKU_1019_GAR,Camisas Camisa Alfaiataria SKU_1019_GAR,,Feminino,Camisas,Camisa Alfaiataria,264.9,82.29,,PV24,,,,
SKU_1019_NAV,Camisas Camisa Alfaiataria SKU_1019_NAV,,Feminino,Camisas,Camisa Alfaiataria,264.9,82.29,,PV24,,,,
SKU_1020_LIG,Shorts e Bermudas Short Jeans SKU_1020_LIG,,Feminino,Shorts e Bermudas,Short Jeans,199.9,60.83,,PV24,,,,
SKU_1020_NAV,Shorts e Bermudas Short Jeans SKU_1020_NAV,,Feminino,Shorts e Bermudas,Short Jeans,199.9,60.83,,PV24,,,,
SKU_1021_CRE,Saias Saia Curta SKU_1021_CRE,,Feminino,Saias,Saia Curta,284.9,76.15,,PV24,,,,
SKU_1021_PAS,Saias Saia Curta SKU_1021_PAS,,Feminino,Saias,Saia Curta,284.9,76.15,,PV24,,,,
SKU_1022_DEN,Blusas Body SKU_1022_DEN,,Feminino,Blusas,Body,319.9,104.61,,PV24,,,,
SKU_1022_PAL,Blusas Body SKU_1022_PAL,,Feminino,Blusas,Body,319.9,104.61,,PV24,,,,
SKU_1023_DEN,Camisas Camisa Estampada SKU_1023_DEN,,Feminino,Camisas,Camisa Estampada,279.9,109.83,,PV24,,,,
SKU_1023_FOR,Camisas Camisa Estampada SKU_1023_FOR,,Feminino,Camisas,Camisa Estampada,279.9,109.83,,PV24,,,,
SKU_1024_DEN,Blusas Blusa Cropped SKU_1024_DEN,,Feminino,Blusas,Blusa Cropped,209.9,79.8,,PV24,,,,
SKU_1024_VAN,Blusas Blusa Cropped SKU_1024_VAN,,Feminino,Blusas,Blusa Cropped,209.9,79.8,,PV24,,,,
SKU_1025_MIN,Bolsas Bolsa Tiracolo SKU_1025_MIN,,Acessórios,Bolsas,Bolsa Tiracolo,484.9,154.2,,PV24,,,,
SKU_1025_WHI,Bolsas Bolsa Tiracolo SKU_1025_WHI,,Acessórios,Bolsas,Bolsa Tiracolo,484.9,154.2,,PV24,,,,
SKU_1026_CLO,Calças Calça Jeans SKU_1026_CLO,,Feminino,Calças,Calça Jeans,414.9,136.59,,PV24,,,,
SKU_1026_SPA,Calças Calça Jeans SKU_1026_SPA,,Feminino,Calças,Calça Jeans,414.9,136.59,,PV24,,,,
SKU_1027_BIR,Camisas Camisa Alfaiataria SKU_1027_BIR,,Feminino,Camisas,Camisa Alfaiataria,419.9,133.53,,PV24,,,,
SKU_1027_MAR,Camisas Camisa Alfaiataria SKU_1027_MAR,,Feminino,Camisas,Camisa Alfaiataria,419.9,133.53,,PV24,,,,
SKU_1028_AQU,Bolsas Bolsa Tiracolo SKU_1028_AQU,,Acessórios,Bolsas,Bolsa Tiracolo,629.9,200.31,,PV24,,,,
SKU_1028_BLU,Bolsas Bolsa Tiracolo SKU_1028_BLU,,Acessórios,Bolsas,Bolsa Tiracolo,629.9,200.31,,PV24,,,,
SKU_1029_BAL,Shorts e Bermudas Short Alfaiataria SKU_1029_BAL,,Feminino,Shorts e Bermudas,Short Alfaiataria,244.9,77.88,,PV24,,,,
SKU_1029_BLU,Shorts e Bermudas Short Alfaiataria SKU_1029_BLU,,Feminino,Shorts e Bermudas,Short Alfaiataria,244.9,77.88,,PV24,,,,
SKU_1030_CRE,Vestidos Vestido Midi SKU_1030_CRE,,Feminino,Vestidos,Vestido Midi,649.9,206.67,,PV24,,,,
SKU_1030_DEN,Vestidos Vestido Midi SKU_1030_DEN,,Feminino,Vestidos,Vestido Midi,649.9,206.67,,PV24,,,,
SKU_1031_COR,Vestidos Vestido Midi SKU_1031_COR,,Feminino,Vestidos,Vestido Midi,474.9,157.19,,PV24,,,,
SKU_1031_HON,Vestidos Vestido Midi SKU_1031_HON,,Feminino,Vestidos,Vestido Midi,474.9,157.19,,PV24,,,,
SKU_1032_EME,Vestidos Vestido Curto SKU_1032_EME,,Feminino,Vestidos,Vestido Curto,344.9,109.68,,PV24,,,,
SKU_1032_HON,Vestidos Vestido Curto SKU_1032_HON,,Feminino,Vestidos,Vestido Curto,344.9,109.68,,PV24,,,,
SKU_1033_LIM,Bolsas Bolsa Tiracolo SKU_1033_LIM,,Acessórios,Bolsas,Bolsa Tiracolo,649.9,206.67,,PV24,,,,
SKU_1033_NAV,Bolsas Bolsa Tiracolo SKU_1033_NAV,,Acessórios,Bolsas,Bolsa Tiracolo,649.9,206.67,,PV24,,,,
SKU_1034_PAS,Lenços Lenço Estampado SKU_1034_PAS,,Acessórios,Lenços,Lenço Estampado,214.9,70.75,,PV24,,,,
SKU_1034_PIS,Lenços Lenço Estampado SKU_1034_PIS,,Acessórios,Lenços,Lenço Estampado,214.9,70.75,,PV24,,,,
SKU_1035_FUC,Vestidos Vestido Midi SKU_1035_FUC,,Feminino,Vestidos,Vestido Midi,654.9,208.26,,PV24,,,,
SKU_1035_SAP,Vestidos Vestido Midi SKU_1035_SAP,,Feminino,Vestidos,Vestido Midi,654.9,208.26,,PV24,,,,
SKU_1036_BIR,Vestidos Vestido Longo SKU_1036_BIR,,Feminino,Vestidos,Vestido Longo,749.9,246.87,,PV24,,,,
SKU_1036_MID,Vestidos Vestido Longo SKU_1036_MID,,Feminino,Vestidos,Vestido Longo,749.9,246.87,,PV24,,,,
SKU_1037_PRI,Blusas Blusa Cropped SKU_1037_PRI,,Feminino,Blusas,Blusa Cropped,209.9,66.75,,PV24,,,,
SKU_1037_SPA,Blusas Blusa Cropped SKU_1037_SPA,,Feminino,Blusas,Blusa Cropped,209.9,66.75,,PV24,,,,
SKU_1038_FLA,Camisas Camisa Alfaiataria SKU_1038_FLA,,Feminino,Camisas,Camisa Alfaiataria,254.9,81.06,,PV24,,,,
SKU_1038_LIG,Camisas Camisa Alfaiataria SKU_1038_LIG,,Feminino,Camisas,Camisa Alfaiataria,254.9,81.06,,PV24,,,,
SKU_1039_ARM,Bijoux Colar SKU_1039_ARM,,Acessórios,Bijoux,Colar,154.9,51.27,,PV24,,,,
SKU_1039_MIN,Bijoux Colar SKU_1039_MIN,,Acessórios,Bijoux,Colar,154.9,51.27,,PV24,,,,
