Código (SKU),Data da Posição de Estoque,Quantidade em Estoque,Valor ao Custo (R$),Valor a Preço de Venda (R$),Localização / CD
SKU_1321_SER,2025-01-01,284,15313.0,42571.6,principal
SKU_1322_MOS,2025-01-01,0,0.0,0.0,principal
SKU_1322_IVO,2025-01-01,234,29365.59,77196.6,principal
SKU_1323_AQU,2025-01-01,251,28094.53,72764.9,principal
SKU_1323_FRE,2025-01-01,220,24624.69,63778.0,principal
SKU_1324_MID,2025-01-01,237,25879.67,78186.3,principal
SKU_1324_SNO,2025-01-01,366,39966.07,120743.4,principal
SKU_1325_LIG,2025-01-01,331,30838.26,99266.9,principal
SKU_1325_PEA,2025-01-01,187,17422.22,56081.3,principal
SKU_1326_PAS,2025-01-01,244,35930.49,123195.6,principal
SKU_1326_BAB,2025-01-01,311,45796.65,157023.9,principal
SKU_1327_GAR,2025-01-01,313,23208.78,81348.7,principal
SKU_1327_HON,2025-01-01,293,21725.79,76150.7,principal
SKU_1328_EGR,2025-01-01,267,21006.31,70728.3,principal
SKU_1328_LIG,2025-01-01,0,0.0,0.0,principal
SKU_1329_NAV,2025-01-01,179,17537.41,49207.1,principal
SKU_1329_MIN,2025-01-01,207,20280.69,56904.3,principal
SKU_1330_PRI,2025-01-01,237,24310.73,73446.3,principal
SKU_1330_LIM,2025-01-01,341,34978.72,105675.9,principal
SKU_1331_ARM,2025-01-01,290,25812.38,81171.0,principal
SKU_1331_AQU,2025-01-01,294,26168.41,82290.6,principal
SKU_1332_MOS,2025-01-01,300,16374.57,49470.0,principal
SKU_1332_MOS,2025-01-01,300,16374.57,49470.0,principal
SKU_1333_PIS,2025-01-01,292,18354.21,55450.8,principal
SKU_1333_MOS,2025-01-01,224,14079.95,42537.6,principal
SKU_1334_TEA,2025-01-01,160,24356.3,73584.0,principal
SKU_1334_ROY,2025-01-01,0,0.0,0.0,principal
SKU_1335_CRE,2025-01-01,169,19222.49,64203.1,principal
SKU_1335_BRI,2025-01-01,0,0.0,0.0,principal
SKU_1336_LIM,2025-01-01,243,23229.9,85025.7,principal
SKU_1336_PIN,2025-01-01,296,28296.5,103570.4,principal
SKU_1337_DUS,2025-01-01,175,9522.81,32357.5,principal
SKU_1337_MAG,2025-01-01,308,16760.15,56949.2,principal
SKU_1338_OLI,2025-01-01,179,11993.41,36677.1,principal
SKU_1338_PAS,2025-01-01,232,15544.53,47536.8,principal
SKU_1339_JAD,2025-01-01,248,27391.19,76855.2,principal
SKU_1339_EME,2025-01-01,266,29379.26,82433.4,principal
SKU_1340_SNO,2025-01-01,0,0.0,0.0,principal
SKU_1340_POW,2025-01-01,337,127015.66,385831.3,principal
SKU_1341_HOT,2025-01-01,312,17848.96,56128.8,principal
SKU_1341_PEA,2025-01-01,163,9324.94,29323.7,principal
SKU_1342_CRE,2025-01-01,269,29931.15,94123.1,principal
SKU_1342_BAB,2025-01-01,152,16912.77,53184.8,principal
SKU_1343_NAV,2025-01-01,161,16781.34,50698.9,principal
SKU_1343_IVO,2025-01-01,257,26787.6,80929.3,principal
SKU_1344_PAS,2025-01-01,276,27638.14,86912.4,principal
SKU_1344_MID,2025-01-01,197,19727.23,62035.3,principal
SKU_1345_ARM,2025-01-01,195,64169.11,233980.5,principal
SKU_1345_FOR,2025-01-01,204,67130.76,244779.6,principal
SKU_1346_HON,2025-01-01,289,22443.31,76556.1,principal
SKU_1346_PEA,2025-01-01,159,12347.7,42119.1,principal
SKU_1347_DUS,2025-01-01,0,0.0,0.0,principal
SKU_1347_LIM,2025-01-01,226,17512.8,65517.4,principal
SKU_1348_NAV,2025-01-01,296,62905.12,192370.4,principal
SKU_1348_PIS,2025-01-01,0,0.0,0.0,principal
SKU_1349_HON,2025-01-01,278,22897.4,58352.2,principal
SKU_1349_SEA,2025-01-01,144,11860.53,30225.6,principal
SKU_1350_SNO,2025-01-01,173,16314.23,49287.7,principal
SKU_1350_BAB,2025-01-01,290,27347.55,82621.0,principal
SKU_1351_SAG,2025-01-01,280,63939.93,193172.0,principal
SKU_1351_HON,2025-01-01,322,73530.92,222147.8,principal
SKU_1352_CER,2025-01-01,316,29276.42,88448.4,principal
SKU_1352_HUN,2025-01-01,238,22049.96,66616.2,principal
SKU_1353_MAG,2025-01-01,299,18794.21,56780.1,principal
SKU_1353_MAR,2025-01-01,374,23508.48,71022.6,principal
SKU_1354_AQU,2025-01-01,342,104131.16,316315.8,principal
SKU_1354_CLE,2025-01-01,231,70334.21,213651.9,principal
SKU_1355_PAS,2025-01-01,312,17964.05,54568.8,principal
SKU_1355_DEE,2025-01-01,195,11227.53,34105.5,principal
SKU_1356_BLU,2025-01-01,203,14361.25,43624.7,principal
SKU_1356_DEN,2025-01-01,0,0.0,0.0,principal
SKU_1357_BRI,2025-01-01,190,41815.56,126331.0,principal
SKU_1357_BLU,2025-01-01,344,75708.17,228725.6,principal
SKU_1358_DUS,2025-01-01,192,12634.96,38380.8,principal
SKU_1358_MAR,2025-01-01,216,14214.33,43178.4,principal
SKU_1359_BLU,2025-01-01,180,24321.28,76482.0,principal
SKU_1359_NAV,2025-01-01,184,24861.75,78181.6,principal
SKU_1360_WHI,2025-01-01,332,35154.45,106206.8,principal
SKU_1360_FRE,2025-01-01,0,0.0,0.0,principal
