Número do Pedido,Código (SKU),Data do Pedido,Quantidade Pedida,Custo Unitário (R$),Fornecedor,Previsão de Entrega,Data de Entrega Real,Status
PED_SKU_1000_COR_0,SKU_1000_COR,2023-06-17,376,98.25,,2023-08-01,,Entregue
PED_SKU_1000_COR_1,SKU_1000_COR,2023-08-16,376,98.25,,2023-09-30,,Cancelado
PED_SKU_1000_COR_2,SKU_1000_COR,2023-10-15,376,98.25,,2023-11-29,,Cancelado
PED_SKU_1000_EME_0,SKU_1000_EME,2023-06-17,558,59.76,,2023-08-01,,Entregue
PED_SKU_1000_EME_1,SKU_1000_EME,2023-08-16,558,59.76,,2023-09-30,,Entregue
PED_SKU_1000_ROY_0,SKU_1000_ROY,2023-06-17,274,59.76,,2023-08-01,,Entregue
PED_SKU_1000_ROY_1,SKU_1000_ROY,2023-08-16,274,59.76,,2023-09-30,,Entregue
PED_SKU_1000_ROY_2,SKU_1000_ROY,2023-10-15,274,59.76,,2023-11-29,,Entregue
PED_SKU_1000_ROY_3,SKU_1000_ROY,2023-12-14,274,59.76,,2024-01-28,,Entregue
PED_SKU_1001_AQU_0,SKU_1001_AQU,2023-06-17,522,251.24,,2023-08-01,,Entregue
PED_SKU_1001_AQU_1,SKU_1001_AQU,2023-08-16,522,251.24,,2023-09-30,,Entregue
PED_SKU_1001_SAP_0,SKU_1001_SAP,2023-06-17,550,251.24,,2023-08-01,,Entregue
PED_SKU_1001_SAP_1,SKU_1001_SAP,2023-08-16,550,251.24,,2023-09-30,,Entregue
PED_SKU_1002_COR_0,SKU_1002_COR,2023-06-17,328,76.81,,2023-08-01,,Entregue
PED_SKU_1002_COR_1,SKU_1002_COR,2023-08-16,328,76.81,,2023-09-30,,Entregue
PED_SKU_1002_COR_2,SKU_1002_COR,2023-10-15,328,76.81,,2023-11-29,,Entregue
PED_SKU_1002_MYS_0,SKU_1002_MYS,2023-06-17,511,76.81,,2023-08-01,,Entregue
PED_SKU_1002_MYS_1,SKU_1002_MYS,2023-08-16,511,76.81,,2023-09-30,,Entregue
PED_SKU_1003_SNO_0,SKU_1003_SNO,2023-06-17,337,143.19,,2023-08-01,,Entregue
PED_SKU_1003_SNO_1,SKU_1003_SNO,2023-08-16,337,143.19,,2023-09-30,,Entregue
PED_SKU_1003_SNO_2,SKU_1003_SNO,2023-10-15,337,143.19,,2023-11-29,,Entregue
PED_SKU_1003_DUS_0,SKU_1003_DUS,2023-06-17,565,143.19,,2023-08-01,,Entregue
PED_SKU_1003_DUS_1,SKU_1003_DUS,2023-08-16,565,143.19,,2023-09-30,,Entregue
PED_SKU_1004_FOR_0,SKU_1004_FOR,2023-06-17,279,114.01,,2023-08-01,,Entregue
PED_SKU_1004_FOR_1,SKU_1004_FOR,2023-08-16,279,114.01,,2023-09-30,,Cancelado
PED_SKU_1004_FOR_2,SKU_1004_FOR,2023-10-15,279,114.01,,2023-11-29,,Entregue
PED_SKU_1004_FOR_3,SKU_1004_FOR,2023-12-14,279,114.01,,2024-01-28,,Entregue
PED_SKU_1004_MEX_0,SKU_1004_MEX,2023-06-17,343,114.01,,2023-08-01,,Entregue
PED_SKU_1004_MEX_1,SKU_1004_MEX,2023-08-16,343,114.01,,2023-09-30,,Entregue
PED_SKU_1004_MEX_2,SKU_1004_MEX,2023-10-15,343,114.01,,2023-11-29,,Entregue
PED_SKU_1005_OLI_0,SKU_1005_OLI,2023-06-17,337,60.87,,2023-08-01,,Entregue
PED_SKU_1005_OLI_1,SKU_1005_OLI,2023-08-16,337,60.87,,2023-09-30,,Entregue
PED_SKU_1005_OLI_2,SKU_1005_OLI,2023-10-15,337,60.87,,2023-11-29,,Cancelado
PED_SKU_1005_MYS_0,SKU_1005_MYS,2023-06-17,359,60.87,,2023-08-01,,Cancelado
PED_SKU_1005_MYS_1,SKU_1005_MYS,2023-08-16,359,60.87,,2023-09-30,,Entregue
PED_SKU_1005_MYS_2,SKU_1005_MYS,2023-10-15,359,60.87,,2023-11-29,,Entregue
PED_SKU_1006_MOS_0,SKU_1006_MOS,2023-06-17,328,60.39,,2023-08-01,,Entregue
PED_SKU_1006_MOS_1,SKU_1006_MOS,2023-08-16,328,60.39,,2023-09-30,,Entregue
PED_SKU_1006_MOS_2,SKU_1006_MOS,2023-10-15,328,60.39,,2023-11-29,,Entregue
PED_SKU_1006_FOR_0,SKU_1006_FOR,2023-06-17,494,60.39,,2023-08-01,,Entregue
PED_SKU_1006_FOR_1,SKU_1006_FOR,2023-08-16,494,60.39,,2023-09-30,,Entregue
PED_SKU_1007_COB_0,SKU_1007_COB,2023-06-17,557,93.78,,2023-08-01,,Entregue
PED_SKU_1007_COB_1,SKU_1007_COB,2023-08-16,557,93.78,,2023-09-30,,Entregue
PED_SKU_1007_FOR_0,SKU_1007_FOR,2023-06-17,262,93.78,,2023-08-01,,Entregue
PED_SKU_1007_FOR_1,SKU_1007_FOR,2023-08-16,262,93.78,,2023-09-30,,Entregue
