Código (SKU),Data da Venda,Canal de Venda,Quantidade Vendida,Receita Bruta (R$),Desconto (R$),Preço Realizado por Unidade (R$),Tipo de Venda
SKU_1981_SEA,27/12/2025,Varejo,1,514.9,0.0,514.9,Venda
SKU_2043_ROS,27/12/2025,Atacado,5,1749.5,787.25,192.45,Venda
SKU_1781_AQU,27/12/2025,Atacado,3,389.7,155.88,77.94,Venda
SKU_1972_PAS,27/12/2025,Atacado,4,1379.6,482.84,224.19,Venda
SKU_1899_SAG,27/12/2025,Atacado,8,1799.2,539.76,157.43,Venda
SKU_1771_PIN,27/12/2025,Varejo,3,794.7,198.78,198.64,Venda
SKU_1774_MOS,27/12/2025,Atacado,2,409.8,163.92,122.94,Venda
SKU_2076_MIN,27/12/2025,Varejo,1,474.9,0.0,474.9,Venda
SKU_2088_DUS,27/12/2025,E-commerce,1,1094.9,0.0,1094.9,Venda
SKU_1972_PAS,27/12/2025,Atacado,4,1379.6,482.84,224.19,Venda
SKU_1684_HON,27/12/2025,Atacado,6,1109.4,332.82,129.43,Venda
SKU_1832_COR,27/12/2025,Atacado,4,1179.6,471.84,176.94,Venda
SKU_1953_IVO,27/12/2025,Varejo,1,234.9,16.44,218.46,Venda
SKU_1826_SAP,27/12/2025,Atacado,5,2424.5,848.55,315.19,Venda
SKU_2042_SER,27/12/2025,Atacado,4,3059.6,1070.84,497.19,Venda
SKU_1806_ROS,27/12/2025,Atacado,3,584.7,175.41,136.43,Venda
SKU_1879_WHI,27/12/2025,Atacado,3,914.7,320.13,198.19,Venda
SKU_1805_WHI,27/12/2025,E-commerce,2,1159.8,81.18,539.31,Venda
SKU_2016_SAP,27/12/2025,Atacado,3,674.7,202.41,157.43,Venda
SKU_1691_ROS,27/12/2025,Atacado,4,1239.6,371.88,216.93,Venda
SKU_1707_ARM,27/12/2025,Varejo,2,559.8,88.06,235.87,Venda
SKU_1768_MIN,27/12/2025,Varejo,1,624.9,131.54,493.36,Venda
SKU_1970_TUR,27/12/2025,E-commerce,3,2309.7,161.67,716.01,Venda
SKU_1702_COR,27/12/2025,Atacado,4,2479.6,743.88,433.93,Venda
SKU_1730_OFF,27/12/2025,Varejo,2,639.8,160.18,239.81,Venda
SKU_1915_DUS,27/12/2025,Varejo,1,1164.9,0.0,1164.9,Venda
SKU_1906_NAV,27/12/2025,Varejo,1,294.9,0.0,294.9,Venda
